iter	Logloss
0	0.683788515
1	0.6747557917
2	0.6663439344
3	0.658374751
4	0.6506970504
5	0.6430598131
6	0.6358760936
7	0.6288061474
8	0.6217187711
9	0.6152047911
10	0.6085524456
11	0.6028964314
12	0.5974115453
13	0.5918079471
14	0.5868845166
15	0.5816429406
16	0.5768291325
17	0.5730817071
18	0.568711797
19	0.5645463586
20	0.5598164302
21	0.5552876729
22	0.5512429737
23	0.5475065438
24	0.5440867893
25	0.5405126987
26	0.5369599967
27	0.5344186985
28	0.531178811
29	0.5280514054
30	0.5255651762
31	0.5229702909
32	0.5201925317
33	0.517383363
34	0.5146918779
35	0.512274175
36	0.5097498953
37	0.5078115056
38	0.5054373928
39	0.503095564
40	0.5013599595
41	0.4989704924
42	0.4968382316
43	0.494581882
44	0.4923606338
45	0.4904265105
46	0.4889296375
47	0.4873064268
48	0.4859022754
49	0.4839796865
50	0.4827256073
51	0.481292288
52	0.4800249228
53	0.4786356703
54	0.477369209
55	0.4762209673
56	0.4744072891
57	0.4731278077
58	0.4720847609
59	0.4711872107
60	0.4698166701
61	0.4685265345
62	0.4677458316
63	0.4667373709
64	0.4658422116
65	0.4648478118
66	0.4638766381
67	0.4628027253
68	0.461739416
69	0.4607780732
70	0.4596588786
71	0.458825581
72	0.4577622014
73	0.4569520593
74	0.4560721303
75	0.4552335603
76	0.4543768477
77	0.4536333728
78	0.4529581071
79	0.4522316296
80	0.4514281079
81	0.4506482296
82	0.449962368
83	0.4494450193
84	0.4489071798
85	0.4482068103
86	0.4475071905
87	0.4468482586
88	0.446373042
89	0.4457657919
90	0.4452985715
91	0.4449067876
92	0.4443872084
93	0.4438487008
94	0.4433170648
95	0.4428646677
96	0.4423894329
97	0.4418429961
98	0.441435783
99	0.4409265406
100	0.4406257155
101	0.4402040659
102	0.4396215499
103	0.439057888
104	0.4385161818
105	0.4380170441
106	0.4377106468
107	0.4372989462
108	0.4369247502
109	0.4365832882
110	0.4361817286
111	0.4358305576
112	0.4354393661
