iter	Logloss
0	0.6438892536
1	0.6058538376
2	0.5743475744
3	0.5509235839
4	0.5278916879
5	0.511278723
6	0.4957042601
7	0.4840864236
8	0.474559752
9	0.469388002
10	0.4615951018
11	0.4539907759
12	0.4488299103
13	0.4465270568
14	0.4427847033
15	0.4386616408
16	0.4349700305
17	0.4319522592
18	0.4287808277
19	0.4261444817
20	0.424096919
21	0.4225921371
22	0.421321756
23	0.4200018152
24	0.4182285377
25	0.41714719
26	0.4160298269
27	0.4149360463
28	0.4140815331
29	0.4126251255
30	0.4117549384
31	0.4108076533
32	0.4095183648
33	0.4089454213
34	0.4082235768
35	0.4078566596
36	0.4072705024
37	0.4068013394
38	0.4058360403
39	0.4053018771
40	0.4048292547
41	0.4041623465
42	0.40346707
43	0.403215549
44	0.4029771223
45	0.402653785
46	0.4021533111
47	0.4016358142
48	0.4010421178
49	0.4001539115
50	0.3998943525
51	0.3992263393
52	0.3991919596
53	0.3991240582
54	0.3989087753
55	0.3982285523
56	0.3975837006
57	0.3975717267
58	0.3970552688
59	0.3969418728
60	0.396524346
61	0.3965029445
62	0.3961147925
63	0.3955814621
64	0.3955782708
65	0.395465358
66	0.3954292139
67	0.3953826792
68	0.3951264199
69	0.3948956985
70	0.3948038347
71	0.394566803
72	0.3941969196
73	0.3938978061
74	0.3933903597
75	0.3930898734
76	0.3928041019
77	0.3927474999
78	0.3927463307
79	0.3923892134
80	0.3923172649
81	0.3920366248
82	0.3918547984
83	0.391579085
84	0.3915763143
85	0.3914415659
86	0.3914394025
87	0.3908746206
88	0.390725151
89	0.3903555715
90	0.3897066407
91	0.3893196321
92	0.3892061778
93	0.3886812865
94	0.3883389365
95	0.3882003009
96	0.3881388399
97	0.3878046047
98	0.3877981103
99	0.3877968002
100	0.387663416
101	0.3872203215
102	0.3872186324
103	0.3870939427
104	0.386851677
105	0.3861625528
106	0.3856970654
107	0.3851614943
108	0.3848931736
109	0.3848292124
110	0.3846544701
111	0.3844871884
112	0.3841021341
113	0.3836989534
114	0.3835796975
115	0.3833566696
116	0.3826282089
117	0.3822213861
118	0.3816044589
119	0.3815668402
120	0.3809224058
121	0.380487472
122	0.3803197729
123	0.3802781596
124	0.3801206478
125	0.3799547731
126	0.3792613942
127	0.3785714469
128	0.3783628222
129	0.3778255379
130	0.3773729196
131	0.3768232005
132	0.3763594933
133	0.3758968384
134	0.3754378492
135	0.3751721514
136	0.3748127631
137	0.3745347882
138	0.3744305093
139	0.3740081092
140	0.3733574195
141	0.3729713747
142	0.3727295006
143	0.3721167351
144	0.3719366659
145	0.3718705148
146	0.3713432271
147	0.370897229
148	0.3706321904
149	0.3703013671
150	0.3696121639
151	0.3693628353
152	0.3691895718
153	0.3690397921
154	0.3686038713
155	0.3683015386
156	0.3678253908
157	0.3678062169
158	0.3674708645
159	0.367316296
160	0.3670056279
161	0.3665953779
162	0.3664518184
163	0.3661930293
164	0.3661700235
165	0.3660334005
166	0.3657562167
167	0.3649432614
168	0.3645602123
169	0.3641549365
170	0.3637971329
171	0.3633426694
172	0.3631786787
173	0.3631057312
174	0.3629797406
175	0.3627316126
176	0.3626631531
177	0.3622512091
178	0.3618470623
179	0.3613188496
180	0.3608231644
181	0.3607153661
182	0.3601362009
183	0.3598792261
184	0.3597390037
185	0.3594616059
186	0.359334622
187	0.3590715242
188	0.3586911581
189	0.3585386837
190	0.3580482318
191	0.3578197604
192	0.3576738336
193	0.3573572403
194	0.3572782939
195	0.3569899064
196	0.3568500118
197	0.3565505531
198	0.3565097261
199	0.3563076607
200	0.3558377733
201	0.3557686017
202	0.3552570279
203	0.3550351192
204	0.3549118997
205	0.3541359095
206	0.3536877128
207	0.3535944357
208	0.3531541788
209	0.3526871913
210	0.3525797915
211	0.3521235689
212	0.3517966164
213	0.3517101922
214	0.3515476925
215	0.3511905612
216	0.3511186371
217	0.3507907907
218	0.3505100713
219	0.3501914588
220	0.3501718462
221	0.3497363188
222	0.3494632228
223	0.3490723096
224	0.3489834006
225	0.3489106478
226	0.3488135177
227	0.3482167881
228	0.3481844764
229	0.3477353697
230	0.3472357078
231	0.3469453418
232	0.3465419655
233	0.3461599833
234	0.3457389954
235	0.3454354916
236	0.3449869956
237	0.3447839803
238	0.3444083115
239	0.3440734909
240	0.3436961838
241	0.343645243
242	0.3433790927
243	0.3428929693
244	0.3426164972
245	0.3424589439
246	0.3422427888
247	0.342172079
248	0.3420661997
249	0.3419441936
250	0.3415870057
251	0.3412389155
252	0.3411924088
253	0.3410951359
254	0.3409565834
255	0.3407641423
256	0.3404866283
257	0.340378333
258	0.340146924
259	0.3397621347
260	0.3391657511
261	0.3390824109
262	0.3389521936
263	0.3386254507
264	0.3384561492
265	0.3383356253
266	0.3380446832
267	0.3376855093
268	0.3373215267
269	0.3371830773
270	0.3370124753
271	0.336389124
272	0.3362221787
273	0.3358426614
274	0.335673237
275	0.3355214793
276	0.3353344771
277	0.3352052128
278	0.3348908961
279	0.33463521
280	0.334296079
281	0.3342353007
282	0.3339872918
283	0.3337190926
284	0.3336465321
285	0.3333673531
286	0.3330861835
287	0.3328525527
288	0.332800957
289	0.3324076315
290	0.3323284554
291	0.3319912462
292	0.3316541257
293	0.3315521911
294	0.3312743808
295	0.3309423503
296	0.3309071253
297	0.3306486188
298	0.3303499837
299	0.3302868962
